index;City;State;Population;Latitude;Longitude;city-state;AlternateNames;isStateCapital
1578;Castel di Ieri;Abruzzo;283;42.09732961924101;13.745204681858803;Castel di Ieri, Abruzzo;;False
1582;Castel di Sangro;Abruzzo;6627;41.7815629862324;14.120567328773992;Castel di Sangro, Abruzzo;;False
1639;Castelguidone;Abruzzo;278;41.82561139128954;14.532507126506475;Castelguidone, Abruzzo;;False
1645;Castellafiume;Abruzzo;1058;41.97762937602194;13.324264883414374;Castellafiume, Abruzzo;;False
1646;Castellalto;Abruzzo;7231;42.66621921556784;13.83672807105609;Castellalto, Abruzzo;;False
1673;Castelli;Abruzzo;933;42.485283904966735;13.725496406201644;Castelli, Abruzzo;;False
1745;Castelvecchio Calvisio;Abruzzo;123;42.32687324325217;13.680381320412772;Castelvecchio Calvisio, Abruzzo;;False
1747;Castelvecchio Subequo;Abruzzo;811;42.10982388414031;13.72165489271062;Castelvecchio Subequo, Abruzzo;;False
1776;Castiglione Messer Marino;Abruzzo;1447;41.87138250538358;14.443938624103264;Castiglione Messer Marino, Abruzzo;;False
1777;Castiglione Messer Raimondo;Abruzzo;1982;42.52013912796845;13.868252756868165;Castiglione Messer Raimondo, Abruzzo;;False
1762;Castiglione a Casauria;Abruzzo;719;42.23060885044866;13.896827820216004;Castiglione a Casauria, Abruzzo;;False
1782;Castilenti;Abruzzo;1288;42.535592156843144;13.941325682787802;Castilenti, Abruzzo;;False
1811;Catignano;Abruzzo;1240;42.35090568832086;13.96624169863119;Catignano, Abruzzo;;False
1862;Celano;Abruzzo;10119;42.0770578246529;13.566613958522266;Celano, Abruzzo;;False
1863;Celenza sul Trigno;Abruzzo;769;41.883028469205456;14.584267910298204;Celenza sul Trigno, Abruzzo;;False
1879;Cellino Attanasio;Abruzzo;2176;42.58661717739865;13.856474321506704;Cellino Attanasio, Abruzzo;;False
1897;Cepagatti;Abruzzo;10954;42.36915824373373;14.105823899418017;Cepagatti, Abruzzo;;False
1911;Cerchio;Abruzzo;1541;42.042543314530676;13.596592164764347;Cerchio, Abruzzo;;False
1935;Cermignano;Abruzzo;1405;42.58972513387087;13.8004825655893;Cermignano, Abruzzo;;False
2030;Chieti;Abruzzo;48434;42.358636062424495;14.162609370804496;Chieti, Abruzzo;;False
2120;Città Sant'Angelo;Abruzzo;14874;42.51220877050487;14.062094852541744;Città Sant'Angelo, Abruzzo;;False
2130;Civita d'Antino;Abruzzo;947;41.88642009440035;13.476869995935765;Civita d'Antino, Abruzzo;;False
2132;Civitaluparella;Abruzzo;281;41.95351075336806;14.28568596808635;Civitaluparella, Abruzzo;;False
2135;Civitaquana;Abruzzo;1138;42.33956856307167;13.920701481268248;Civitaquana, Abruzzo;;False
2137;Civitella Alfedena;Abruzzo;289;41.776705635889385;13.911797354786914;Civitella Alfedena, Abruzzo;;False
2138;Civitella Casanova;Abruzzo;1549;42.37896430497629;13.883203973140263;Civitella Casanova, Abruzzo;;False
2143;Civitella Messer Raimondo;Abruzzo;758;42.08093549874004;14.221580843448782;Civitella Messer Raimondo, Abruzzo;;False
2145;Civitella Roveto;Abruzzo;3015;41.89688238041196;13.410394488202051;Civitella Roveto, Abruzzo;;False
2140;Civitella del Tronto;Abruzzo;4533;42.77940046855645;13.6596368666054;Civitella del Tronto, Abruzzo;;False
2163;Cocullo;Abruzzo;204;42.033887176455835;13.771431952362688;Cocullo, Abruzzo;;False
2184;Collarmele;Abruzzo;776;42.06107862327642;13.642861836210288;Collarmele, Abruzzo;;False
2196;Collecorvino;Abruzzo;5980;42.46434388276938;14.040084952161472;Collecorvino, Abruzzo;;False
2197;Colledara;Abruzzo;2063;42.55181149807427;13.686608036235423;Colledara, Abruzzo;;False
2198;Colledimacine;Abruzzo;151;41.999496561036175;14.206237838232871;Colledimacine, Abruzzo;;False
2199;Colledimezzo;Abruzzo;416;41.98958241262089;14.388373709854232;Colledimezzo, Abruzzo;;False
2203;Collelongo;Abruzzo;1064;41.89058599327351;13.572558817745769;Collelongo, Abruzzo;;False
2206;Collepietro;Abruzzo;197;42.21737603237805;13.786520074655844;Collepietro, Abruzzo;;False
2231;Colonnella;Abruzzo;3718;42.86421348210027;13.875556401294627;Colonnella, Abruzzo;;False
2281;Controguerra;Abruzzo;2199;42.85479343659378;13.812984641396984;Controguerra, Abruzzo;;False
2304;Corfinio;Abruzzo;948;42.13572845477424;13.858449546766208;Corfinio, Abruzzo;;False
2335;Corropoli;Abruzzo;5112;42.82743997646538;13.853554503836484;Corropoli, Abruzzo;;False
2358;Cortino;Abruzzo;561;42.62886527892337;13.498079953058754;Cortino, Abruzzo;;False
2360;Corvara;Abruzzo;198;42.27636179035052;13.87017518292678;Corvara, Abruzzo;;False
2404;Crecchio;Abruzzo;2603;42.29294789034538;14.334236116755674;Crecchio, Abruzzo;;False
2430;Crognaleto;Abruzzo;1047;42.56700906637459;13.472433885189796;Crognaleto, Abruzzo;;False
2447;Cugnoli;Abruzzo;1347;42.30918568362282;13.939420523363118;Cugnoli, Abruzzo;;False
2454;Cupello;Abruzzo;4882;42.03861268207657;14.685183243611336;Cupello, Abruzzo;;False
2527;Dogliola;Abruzzo;309;41.94886204448843;14.644035269565292;Dogliola, Abruzzo;;False
2582;Elice;Abruzzo;1627;42.51465434454228;13.979206666931692;Elice, Abruzzo;;False
2635;Fagnano Alto;Abruzzo;333;42.24992612049109;13.582805266676925;Fagnano Alto, Abruzzo;;False
