index;City;State;Population;Latitude;Longitude;city-state;AlternateNames;isStateCapital
135;Heemskerk;Noord-Holland;39092.0;52.514146;4.682137;Heemskerk, Noord-Holland;;False
136;Heemstede;Noord-Holland;26320.0;52.351063;4.6203;Heemstede, Noord-Holland;;False
137;Heerde;Gelderland;18515.0;52.390918;6.049638;Heerde, Gelderland;;False
138;Heerenveen;Friesland;49388.0;52.960561;5.920522;Heerenveen, Friesland;;False
139;Heerhugowaard;Noord-Holland;53246.0;52.662677;4.832477;Heerhugowaard, Noord-Holland;;False
140;Heerlen;Limburg;88202.0;50.888174;5.979499;Heerlen, Limburg;;False
141;Heeze-Leende;Noord-Brabant;15376.0;51.360442;5.59846;Heeze-Leende, Noord-Brabant;;False
142;Heiloo;Noord-Holland;22626.0;52.601234;4.700493;Heiloo, Noord-Holland;;False
143;Hellendoorn;Overijssel;35697.0;52.376905;6.459724;Hellendoorn, Overijssel;;False
144;Hellevoetsluis;Zuid-Holland;38918.0;51.831863;4.13181;Hellevoetsluis, Zuid-Holland;;False
145;Helmond;Noord-Brabant;89346.0;51.479255;5.65701;Helmond, Noord-Brabant;;False
146;Hendrik-Ido-Ambacht;Zuid-Holland;28952.0;51.842397;4.639506;Hendrik-Ido-Ambacht, Zuid-Holland;;False
147;Hengelo;Overijssel;80975.0;52.257412;6.792772;Hengelo, Overijssel;;False
148;Heumen;Gelderland;16342.0;51.764532;5.84315;Heumen, Gelderland;;False
149;Heusden;Noord-Brabant;43180.0;51.733004;5.138279;Heusden, Noord-Brabant;;False
150;Hillegom;Zuid-Holland;20987.0;52.295626;4.579176;Hillegom, Zuid-Holland;;False
151;Hilvarenbeek;Noord-Brabant;15082.0;51.465175;5.15109;Hilvarenbeek, Noord-Brabant;;False
152;Hilversum;Noord-Holland;86574.0;52.22917;5.166897;Hilversum, Noord-Holland;;False
153;Hof van Twente;Overijssel;34987.0;52.241427;6.591555;Hof van Twente, Overijssel;;False
154;Hollands Kroon;Noord-Holland;47501.0;52.811859;5.00119;Hollands Kroon, Noord-Holland;;False
155;Hoogeveen;Drenthe;54680.0;52.728616;6.4901;Hoogeveen, Drenthe;;False
156;Hoorn;Noord-Holland;71741.0;52.642365;5.060212;Hoorn, Noord-Holland;;False
157;Horst aan de Maas;Limburg;41718.0;51.423226;6.030317;Horst aan de Maas, Limburg;;False
158;Houten;Utrecht;48427.0;52.002991;5.18576;Houten, Utrecht;;False
159;Huizen;Noord-Holland;41239.0;52.299465;5.243393;Huizen, Noord-Holland;;False
