index;State;City;Population;Longitude;Latitude;city-state;AlternateNames;isStateCapital
54;Schleswig-Holstein;Rehm-Flehde-Bargen;550;9.036287;54.303981;Rehm-Flehde-Bargen, Schleswig-Holstein
55;Schleswig-Holstein;Sankt Annen;312;9.07975;54.345413;Sankt Annen, Schleswig-Holstein
56;Schleswig-Holstein;Schalkholz;570;9.257028;54.246244;Schalkholz, Schleswig-Holstein
57;Schleswig-Holstein;Schlichting;241;9.089378;54.31014;Schlichting, Schleswig-Holstein
58;Schleswig-Holstein;Tellingstedt;2720;9.2822;54.219944;Tellingstedt, Schleswig-Holstein
59;Schleswig-Holstein;Tielenhemme;171;9.398414;54.27746;Tielenhemme, Schleswig-Holstein
60;Schleswig-Holstein;Wallen;30;9.269563;54.284766;Wallen, Schleswig-Holstein
61;Schleswig-Holstein;Welmbüttel;390;9.246826;54.196873;Welmbüttel, Schleswig-Holstein
62;Schleswig-Holstein;Westerborstel;110;9.260601;54.220127;Westerborstel, Schleswig-Holstein
63;Schleswig-Holstein;Wiemerstedt;152;9.11111;54.269259;Wiemerstedt, Schleswig-Holstein
64;Schleswig-Holstein;Wrohm;724;9.379505;54.212642;Wrohm, Schleswig-Holstein
65;Schleswig-Holstein;Süderdorf;363;9.343678;54.220732;Süderdorf, Schleswig-Holstein
66;Schleswig-Holstein;Süderheistedt;518;9.148463;54.23483;Süderheistedt, Schleswig-Holstein
67;Schleswig-Holstein;Hemmingstedt;2843;9.072111;54.147509;Hemmingstedt, Schleswig-Holstein
68;Schleswig-Holstein;Lieth;367;9.060773;54.15531;Lieth, Schleswig-Holstein
69;Schleswig-Holstein;Lohe-Rickelshof;2066;9.065603;54.187725;Lohe-Rickelshof, Schleswig-Holstein
70;Schleswig-Holstein;Neuenkirchen;1013;8.987884;54.235602;Neuenkirchen, Schleswig-Holstein
71;Schleswig-Holstein;Norderwöhrden;251;9.000232;54.192783;Norderwöhrden, Schleswig-Holstein
72;Schleswig-Holstein;Nordhastedt;2837;9.182991;54.17205;Nordhastedt, Schleswig-Holstein
73;Schleswig-Holstein;Ostrohe;902;9.130804;54.214;Ostrohe, Schleswig-Holstein
74;Schleswig-Holstein;Stelle-Wittenwurth;469;9.066849;54.254357;Stelle-Wittenwurth, Schleswig-Holstein
75;Schleswig-Holstein;Wöhrden;1306;8.994508;54.165463;Wöhrden, Schleswig-Holstein
76;Schleswig-Holstein;Weddingstedt;2339;9.088863;54.239275;Weddingstedt, Schleswig-Holstein
77;Schleswig-Holstein;Wesseln;1433;9.075443;54.208327;Wesseln, Schleswig-Holstein
78;Schleswig-Holstein;Albersdorf;3847;9.283995;54.146557;Albersdorf, Schleswig-Holstein
79;Schleswig-Holstein;Arkebek;229;9.250362;54.160197;Arkebek, Schleswig-Holstein
80;Schleswig-Holstein;Bargenstedt;981;9.144199;54.095594;Bargenstedt, Schleswig-Holstein
81;Schleswig-Holstein;Barlt;764;9.058002;54.012444;Barlt, Schleswig-Holstein
82;Schleswig-Holstein;Bunsoh;764;9.320225;54.165522;Bunsoh, Schleswig-Holstein
83;Schleswig-Holstein;Busenwurth;317;9.041298;54.041407;Busenwurth, Schleswig-Holstein
84;Schleswig-Holstein;Elpersbüttel;885;9.047156;54.072963;Elpersbüttel, Schleswig-Holstein
85;Schleswig-Holstein;Epenwöhrden;781;9.052894;54.112805;Epenwöhrden, Schleswig-Holstein
86;Schleswig-Holstein;Gudendorf;429;9.1082;54.024736;Gudendorf, Schleswig-Holstein
87;Schleswig-Holstein;Immenstedt;110;9.299737;54.180686;Immenstedt, Schleswig-Holstein
88;Schleswig-Holstein;Krumstedt;530;9.177954;54.068684;Krumstedt, Schleswig-Holstein
89;Schleswig-Holstein;Meldorf;7318;9.068784;54.090945;Meldorf, Schleswig-Holstein
90;Schleswig-Holstein;Nindorf;1147;9.114943;54.086722;Nindorf, Schleswig-Holstein
91;Schleswig-Holstein;Odderade;328;9.190795;54.139384;Odderade, Schleswig-Holstein
92;Schleswig-Holstein;Offenbüttel;249;9.357994;54.169186;Offenbüttel, Schleswig-Holstein
93;Schleswig-Holstein;Osterrade;413;9.353264;54.190212;Osterrade, Schleswig-Holstein
94;Schleswig-Holstein;Sarzbüttel;721;9.184027;54.118843;Sarzbüttel, Schleswig-Holstein
95;Schleswig-Holstein;Schafstedt;1318;9.293675;54.079915;Schafstedt, Schleswig-Holstein
96;Schleswig-Holstein;Schrum;76;9.251667;54.187229;Schrum, Schleswig-Holstein
97;Schleswig-Holstein;Wennbüttel;77;9.3225;54.138606;Wennbüttel, Schleswig-Holstein
98;Schleswig-Holstein;Windbergen;747;9.117779;54.044978;Windbergen, Schleswig-Holstein
99;Schleswig-Holstein;Wolmersdorf;331;9.103978;54.077114;Wolmersdorf, Schleswig-Holstein
100;Schleswig-Holstein;Nordermeldorf;597;9.013736;54.112068;Nordermeldorf, Schleswig-Holstein
101;Schleswig-Holstein;Tensbüttel-Röst;684;9.228605;54.105741;Tensbüttel-Röst, Schleswig-Holstein
102;Schleswig-Holstein;Büsum;5078;8.859577;54.130341;Büsum, Schleswig-Holstein
103;Schleswig-Holstein;Büsumer Deichhausen;369;8.890088;54.136175;Büsumer Deichhausen, Schleswig-Holstein
104;Schleswig-Holstein;Friedrichsgabekoog;59;8.941082;54.157516;Friedrichsgabekoog, Schleswig-Holstein
105;Schleswig-Holstein;Hedwigenkoog;210;8.840953;54.177985;Hedwigenkoog, Schleswig-Holstein
106;Schleswig-Holstein;Hellschen-Heringsand-Unterschaar;164;8.872882;54.194536;Hellschen-Heringsand-Unterschaar, Schleswig-Holstein
107;Schleswig-Holstein;Hillgroven;55;8.874901;54.227921;Hillgroven, Schleswig-Holstein
108;Schleswig-Holstein;Norddeich;449;8.899964;54.218049;Norddeich, Schleswig-Holstein
109;Schleswig-Holstein;Oesterdeichstrich;247;8.900566;54.158891;Oesterdeichstrich, Schleswig-Holstein
110;Schleswig-Holstein;Reinsbüttel;397;8.911057;54.179073;Reinsbüttel, Schleswig-Holstein
111;Schleswig-Holstein;Schülp;406;8.929943;54.241971;Schülp, Schleswig-Holstein
112;Schleswig-Holstein;Strübbel;96;8.971812;54.260389;Strübbel, Schleswig-Holstein
113;Schleswig-Holstein;Süderdeich;452;8.91131;54.201711;Süderdeich, Schleswig-Holstein
114;Schleswig-Holstein;Warwerort;234;8.921723;54.141177;Warwerort, Schleswig-Holstein
115;Schleswig-Holstein;Wesselburen;3545;8.920686;54.212159;Wesselburen, Schleswig-Holstein
116;Schleswig-Holstein;Wesselburener Deichhausen;114;8.937237;54.174947;Wesselburener Deichhausen, Schleswig-Holstein
117;Schleswig-Holstein;Wesselburenerkoog;169;8.876475;54.239438;Wesselburenerkoog, Schleswig-Holstein
118;Schleswig-Holstein;Westerdeichstrich;850;8.863517;54.162006;Westerdeichstrich, Schleswig-Holstein
